飯店名稱,飯店地址,聯絡電話1,聯絡電話2,電子信箱,網址來源,抓取日期,isPhoneValid,isEmailValid
巴里巴里VILLA民宿,屏東縣恆春鎮墾丁路通海巷22-1號,0980346062,0983826111,swdk.kt@msa.hinet.net,http://uukt.com.tw/kenting/30,Fri Sep 13 13:35:08 2019,1,1
水岸海景渡假旅店,屏東縣恆春鎮墾丁里大灣路252-1號,088861967,0937630256,shuianshuian7539@gmail.com,http://uukt.com.tw/kenting/25,Fri Sep 13 13:35:08 2019,1,1
幸福小棧,屏東縣恆春鎮墾丁里大灣路142號,0925616060,0925257171,wei0925257171@yahoo.com.tw,http://uukt.com.tw/kenting/48,Fri Sep 13 13:35:08 2019,1,1
澤信旅店,屏東縣恆春鎮墾丁里大灣路260號,088862676,0918276006,tzchin8862676@gmail.com,http://uukt.com.tw/kenting/24,Fri Sep 13 13:35:09 2019,1,1
浪琴海渡假旅館,屏東縣恆春鎮墾丁里大灣路182號,088856999,0931908888,k_6123@hotmail.com,http://uukt.com.tw/kenting/26,Fri Sep 13 13:35:09 2019,1,1
金沙灣旅店,屏東縣恆春鎮墾丁里大灣路132號,088862899,0921598866,gbh399@yahoo.com.tw,http://uukt.com.tw/kenting/95,Fri Sep 13 13:35:12 2019,1,1
金沙灣2館 時尚旅店,屏東縣恆春鎮墾丁路通海巷33-5號,088862899,0921598866,gbh399@yahoo.com.tw,http://uukt.com.tw/kenting/43,Fri Sep 13 13:35:12 2019,1,1
南海旅店,屏東縣恆春鎮墾丁里通海巷37號,088861130,0975791536,nahai0313@gmail.com,http://uukt.com.tw/kenting/45,Fri Sep 13 13:35:13 2019,1,1
希臘風情民宿,屏東縣恆春鎮墾丁路文化巷24號,088861246,無,greecestyle24@gmail.com,http://uukt.com.tw/kenting/38,Fri Sep 13 13:35:13 2019,1,1
遇見墾丁,屏東縣恆春鎮墾丁里大灣路120巷1號,0921548138,088862368,ppoooooooqq@yahoo.com.tw,http://uukt.com.tw/kenting/100,Fri Sep 13 13:35:13 2019,1,1
海韻旅店,屏東縣恆春鎮墾丁里大灣路178號,088863178,0932863178,tourinn@ms13.hinet.net,http://uukt.com.tw/kenting/28,Fri Sep 13 13:35:14 2019,1,1
濱海風情旅店,屏東縣恆春鎮墾丁里大灣路136號,088861116,0933689112,a0933689112@yahoo.com.tw,http://uukt.com.tw/kenting/93,Fri Sep 13 13:35:14 2019,1,1
通海渡假旅館,屏東縣恆春鎮墾丁路通海巷3-1號,088861511,0987736788,tonghae2003@yahoo.com.tw,http://uukt.com.tw/kenting/32,Fri Sep 13 13:35:14 2019,1,1
墾丁戀海126風情旅棧,屏東縣恆春鎮墾丁里大灣路126號　,088861877,0963618859,lovesea126@yahoo.com.tw,http://uukt.com.tw/kenting/98,Fri Sep 13 13:35:14 2019,1,1
漠麗舍 海景民宿,屏東縣恆春鎮墾丁里大灣路262號,088856944,0925809363,kt8856944@yahoo.com.tw,http://uukt.com.tw/kenting/23,Fri Sep 13 13:35:15 2019,1,1
心語旅店,屏東縣恆春鎮墾丁里大灣路262-1號,0910842118,088862868,ae5678@yahoo.com.tw,http://uukt.com.tw/kenting/22,Fri Sep 13 13:35:15 2019,1,1
墾丁 青山旅店,屏東縣恆春鎮墾丁里大灣路120巷3號,088861001,0914053673,123ebronze@gmail.com,http://uukt.com.tw/kenting/99,Fri Sep 13 13:35:15 2019,1,1
太平洋精品旅店,屏東縣恆春鎮墾丁里通海巷41號,088856869,0913797067,a8856869@yahoo.com.tw,http://uukt.com.tw/kenting/46,Fri Sep 13 13:35:15 2019,1,1
墾丁My Home,屏東縣恆春鎮墾丁路通海巷21-2號,0906256508,無,ktmh212@gmail.com,http://uukt.com.tw/kenting/34410,Fri Sep 13 13:35:16 2019,1,1
月彎灣旅店,屏東縣恆春鎮墾丁里大灣路110號,0965320991,無,kenting.moonbay@msa.hinet.net,http://uukt.com.tw/kenting/47718,Fri Sep 13 13:35:16 2019,1,1
安尼赫時尚旅店,屏東縣恆春鎮墾丁路131-2號,0976560570,088862308,a8862308@gmail.com,http://uukt.com.tw/kenting/41031,Fri Sep 13 13:35:16 2019,1,1
興吉旅店,屏東縣恆春鎮墾丁路257號,088861095,0986000789,service.xjhotel@gmail.com,http://uukt.com.tw/kenting/258,Fri Sep 13 13:35:17 2019,1,1
Ciao! House 橋庭民宿,屏東縣恆春鎮墾丁路和平巷57號,088862931,無,ciaohouse@hotmail.com,http://uukt.com.tw/kenting/25616,Fri Sep 13 13:35:17 2019,1,1
墾丁福樂渡假飯店,屏東縣恆春鎮墾丁路128號　,088861007,無,formost@hotmail.com.tw,http://uukt.com.tw/kenting/241,Fri Sep 13 13:35:17 2019,1,1
秀風精品民宿,屏東縣恆春鎮墾丁路125號,0910857053,無,jakeyseth@gmail.com,http://uukt.com.tw/kenting/243,Fri Sep 13 13:35:17 2019,1,1
夢幻小屋旅店,屏東縣恆春鎮墾丁路888號,088861389,無,mhxw888@gmail.com,http://uukt.com.tw/kenting/39371,Fri Sep 13 13:35:17 2019,1,1
海園別館,屏東縣恆春鎮墾丁路海濱巷1號　(本館),096129180909002100,08886166309002100,"haiyuan228@gmail.com,QQ號:2484963534",http://uukt.com.tw/kenting/257,Fri Sep 13 13:35:18 2019,1,1
夢幻小屋旅店,屏東縣恆春鎮墾丁路888號,088861389,無,mhxw888@gmail.com,http://uukt.com.tw/kenting/39371,Fri Sep 13 13:35:18 2019,1,1
星空/太空艙旅店,屏東縣恆春鎮墾丁路241號,0909161188,無,ktstarsky@gmail.com,http://uukt.com.tw/kenting/41213,Fri Sep 13 13:35:18 2019,1,1
大尖山飯店,屏東縣恆春鎮墾丁路302號,088861828,無,service@henchungking.com.tw,http://uukt.com.tw/kenting/220,Fri Sep 13 13:35:19 2019,1,1
貝殼灣渡假旅館,一館-屏東縣恆春鎮墾丁路212號，二館-屏東縣恆春鎮墾丁路330-12號,088863888,0960393888,aa393888@hotmail.com.tw,http://uukt.com.tw/kenting/251,Fri Sep 13 13:35:19 2019,1,1
美協渡假旅館,屏東縣恆春鎮墾丁路126號,088861176,0987030289,,http://uukt.com.tw/kenting/240,Fri Sep 13 13:35:19 2019,1,0
墾丁 星棧888民宿,屏東縣恆春鎮墾丁路888號,088861520,無,kstar1520@gmail.com,http://uukt.com.tw/kenting/34858,Fri Sep 13 13:35:19 2019,1,1
蘋果咬一口 ROOM,屏東縣恆春鎮墾丁路263號2樓,09708797838002200,0888612638001800,kenting.room@gmail.com,http://uukt.com.tw/kenting/24997,Fri Sep 13 13:35:20 2019,1,1
愛的小木屋,屏東縣恆春鎮墾丁路210之24號,0912783709,0922661340,sea8882288@gmail.com,http://uukt.com.tw/kenting/39873,Fri Sep 13 13:35:20 2019,1,1
墾丁 157精品會館,屏東縣恆春鎮墾丁路157號,0977180858,無,kenting157@gmail.com,http://uukt.com.tw/kenting/35395,Fri Sep 13 13:35:20 2019,1,1
吉境旅店,屏東縣恆春鎮墾丁路115號(墾丁大街中段警察局旁),0936500666,無,jijing0227@gmail.com,http://uukt.com.tw/kenting/4525,Fri Sep 13 13:35:20 2019,1,1
墾丁 新北平休閒會館,屏東縣恆春鎮墾丁路120號,088856885,0916170557,hsin.peiping@gmail.com,http://uukt.com.tw/kenting/47858,Fri Sep 13 13:35:21 2019,1,1
合歡精緻民宿 (合歡8宿),屏東縣恆春鎮墾丁路90號,088861364,0932846018,ying742827@gmail.com,http://uukt.com.tw/kenting/284,Fri Sep 13 13:35:21 2019,1,1
小灣旅店,屏東縣恆春鎮墾丁路82號,088861015,無,siaowan82@gmail.com,http://uukt.com.tw/kenting/282,Fri Sep 13 13:35:21 2019,1,1
墾丁 RUSTY旅店,屏東縣恆春鎮墾丁路23號　,0963733896,無,amis5353@yahoo.com.tw,http://uukt.com.tw/kenting/270,Fri Sep 13 13:35:21 2019,1,1
阿猴城民宿,屏東縣恆春鎮墾丁路44號,0937699974,無,akau.nougat@gmail.com,http://uukt.com.tw/kenting/4406,Fri Sep 13 13:35:22 2019,1,1
大尖山風情會館,屏東縣恆春鎮墾丁路330-10號,088861194,0972749707,asdfg11223390775@yahoo.com.tw,http://uukt.com.tw/kenting/223,Fri Sep 13 13:35:22 2019,1,1
大石板休閒農莊,屏東縣恆春鎮墾丁路330-3號　,088863902,0963114690,kuo8863902@yahoo.com.tw,http://uukt.com.tw/kenting/225,Fri Sep 13 13:35:22 2019,1,1
墾丁羊角村,屏東縣恆春鎮墾丁路330-22號,0958134188,0922460320,okravilla@gmail.com,http://uukt.com.tw/kenting/47764,Fri Sep 13 13:35:23 2019,1,1
墾丁.牧場villa二館,屏東縣恆春鎮墾丁路大溪巷5號,0979928388,0937456411,ktvilla520@gmail.com,http://uukt.com.tw/kenting/39433,Fri Sep 13 13:35:23 2019,1,1
MaMaLuLu 瑪瑪魯魯民宿,屏東縣恆春鎮墾丁路和平巷65-1號,088863886,無,mamalulu886@yahoo.com.tw,http://uukt.com.tw/kenting/211,Fri Sep 13 13:35:23 2019,1,1
墾丁 Morpheus摩菲民宿,屏東縣恆春鎮墾丁路和平巷67號　,088861236,088862602,yalont@gmail.com,http://uukt.com.tw/kenting/212,Fri Sep 13 13:35:23 2019,1,1
墾丁米淇民宿,屏東縣恆春鎮墾丁里公園路大溪巷2號,0915529369,無,hsmikey1026@gmail.com,http://uukt.com.tw/kenting/47791,Fri Sep 13 13:35:24 2019,1,1
津津渡假旅館,屏東縣恆春鎮墾丁路148號,0905809860,無,ktjinjin148@gmail.com,http://uukt.com.tw/kenting/202,Fri Sep 13 13:35:24 2019,1,1
墾丁 滿溢棧,屏東縣恆春鎮墾丁路402-16號,0966509883,088861560,mangyi2015k@gmail.com,http://uukt.com.tw/kenting/39742,Fri Sep 13 13:35:24 2019,1,1
潘妮蘇拉 INN,屏東縣恆春鎮墾丁路330-26號,0933384899,無,peninsula.ktlove@gmail.com,http://uukt.com.tw/kenting/47816,Fri Sep 13 13:35:24 2019,1,1
墾丁 茉莉小棧民宿,屏東縣恆春鎮墾丁路和平巷75-1號,0985960961,088856998,jasmine100888@gmail.com,http://uukt.com.tw/kenting/215,Fri Sep 13 13:35:25 2019,1,1
The House空間,屏東縣恆春鎮墾丁路佛光巷16號,0956666456,886956666456,thehouse2010@hotmail.com,http://uukt.com.tw/kenting/207,Fri Sep 13 13:35:25 2019,1,1
墾丁 四季峇里時尚旅店 (港劇:衝上雲霄II 拍攝場地),屏東縣恆春鎮墾丁路和平巷77-1號,088856666,無,ktfsbl@yahoo.com.tw,http://uukt.com.tw/kenting/216,Fri Sep 13 13:35:25 2019,1,1
墾丁大尖山原野小屋,屏東縣恆春鎮墾丁路302號 (入住前請到大尖山飯店辦理入住登記),088861828,無,service@henchungking.com.tw,http://uukt.com.tw/kenting/507,Fri Sep 13 13:35:25 2019,1,1
馬丁威旅店,屏東縣恆春鎮墾丁路和平巷63之1號,088861660,0935907176,g0935907176@hotmail.com,http://uukt.com.tw/kenting/213,Fri Sep 13 13:35:26 2019,1,1
墾丁海洋之星,屏東縣恆春鎮墾丁路和平巷69號,0963116339,無,star.kt@msa.hinet.net,http://uukt.com.tw/kenting/214,Fri Sep 13 13:35:26 2019,1,1
墾丁大尖山休閒小屋,屏東縣恆春鎮墾丁路302號 (入住前請到大尖山飯店辦理入住登記),088861828,無,service@henchungking.com.tw,http://uukt.com.tw/kenting/497,Fri Sep 13 13:35:26 2019,1,1
上詠旅店,屏東縣恆春鎮墾丁路佛光巷11~1號,088861701,無,,http://uukt.com.tw/kenting/209,Fri Sep 13 13:35:26 2019,1,0
楓林別館,屏東縣恆春鎮墾丁路402-3號,0922661340,088861227,,http://uukt.com.tw/kenting/47639,Fri Sep 13 13:35:26 2019,1,0
墾丁米克諾斯,屏東縣恆春鎮墾丁路630號,088856920,0984285907,t088856920@gmail.com,http://uukt.com.tw/kenting/231,Fri Sep 13 13:35:27 2019,1,1
墾丁 托斯卡尼渡假莊園,屏東縣恆春鎮墾丁路石牛巷1-3號,088861283,無,service@tuscany.tw,http://uukt.com.tw/kenting/10,Fri Sep 13 13:35:27 2019,1,1
夏綠地民宿,屏東縣恆春鎮墾丁里社興路156號,0922720178,088861086,g22y22@gmail.com,http://uukt.com.tw/kenting/47839,Fri Sep 13 13:35:27 2019,1,1
墾丁漫步酒莊 Château,屏東縣恆春鎮墾丁路石牛巷1-5號,088856886,無,service@tuscany.tw,http://uukt.com.tw/kenting/4779,Fri Sep 13 13:35:28 2019,1,1
Just Hi 就是海　墾丁南灣沙灘海景民宿,屏東縣恆春鎮南灣路20號,097233966010001000,無,ktjusthi@gmail.com,http://uukt.com.tw/kenting/777,Fri Sep 13 13:35:28 2019,0,1
湛藍海岸,屏東縣恆春鎮南灣路196號,0976055777,無,,http://uukt.com.tw/kenting/254,Fri Sep 13 13:35:28 2019,1,0
海灣Bay view旅店,屏東縣恆春鎮南灣路252號,0977269229,0983118822,s0918167022@yahoo.com.tw,http://uukt.com.tw/kenting/33747,Fri Sep 13 13:35:28 2019,1,1
南鴻雅築,6,0956343166,088880113,"nan_hong_goo@yahoo.com.tw 主旨請用本名及住宿日期,方便查看.",http://uukt.com.tw/kenting/104,Fri Sep 13 13:35:29 2019,1,1
卡樂莉芙旅店,屏東縣恆春鎮南灣路126巷3號,088881830,0935011321,coral0973978839@gmail.com,http://uukt.com.tw/kenting/66,Fri Sep 13 13:35:29 2019,1,1
金圓旅店,屏東縣恆春鎮南灣路132號,0958198492,無,t672172000@yahoo.com.tw,http://uukt.com.tw/kenting/117,Fri Sep 13 13:35:29 2019,1,1
紅舍旅店,屏東縣恆春鎮南灣路248號,0911639839,無,liuxiaohongred@hotmail.com,http://uukt.com.tw/kenting/4848,Fri Sep 13 13:35:29 2019,1,1
南灣悠遊設計旅店,屏東縣恆春鎮南灣路212號,088882627,無,yoyo8882627@gmail.com,http://uukt.com.tw/kenting/127,Fri Sep 13 13:35:30 2019,1,1
覓夏旅店 Mini Summer,屏東縣恆春鎮南灣路104號,0939255709,無,minisummer104@gmail.com,http://uukt.com.tw/kenting/37741,Fri Sep 13 13:35:30 2019,1,1
